#U_bias/V I_leak_up/muA I_leak_down/muA I_leak_second_up/muA I_leak_second_down/muA
0 0.005	0.004	0.004	0.004
5 0.052	0.035	0.04	0.034
10 0.069 0.048 0.056 0.047
15 0.081 None 0.068 0.059
20 0.091 0.069 0.078 0.069
25 0.092 0.079 0.088 0.079
30 0.101 0.089 0.096 0.089
32 0.104 0.092 0.099 0.092
34 0.106 0.095 0.102 0.095
36 0.109 0.098 0.104 0.098
38 0.111 0.1 0.106 0.101
40 0.113 0.103 0.108 0.103
41 0.113 0.104 0.109 0.104
42 0.114 0.105 0.11	0.105
45 0.117 0.108 0.112 0.108
50 0.118 0.112 0.116 0.112
52 0.119 0.113 0.117 0.113
54 0.12	 0.114 0.118 0.114
56 0.121 0.116 0.119 0.116
58 0.122 0.117 0.12	0.117
60 0.123 0.118 0.121 0.118
62 0.124 0.119 0.122 0.119
65 0.125 0.12 0.123	0.12
70 0.126 0.122 0.125 0.122
72 0.127 0.123 0.126 0.123
74 0.128 0.124 0.126 0.124
76 0.128 0.125 0.127 0.125
78 0.129 0.125 0.127 0.125
80 0.129 0.126 0.128 0.126
82 0.13 0.127 0.128	0.127
84 0.13 0.127 0.129	0.127
86 0.131 0.128 0.129 0.128
88 0.131 0.128 0.13	0.128
90 0.131 0.129 0.13	0.129
95 0.132 0.13 0.131	0.13
100 0.132 0.131 0.132	0.131
105 0.133 0.132 0.133	0.132
110 0.134 0.133 0.133	0.133
115 0.135 0.134 0.134	0.134
120 0.136 0.136 0.135	0.135
